Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Season,Winner
2021-01-13,Charlotte Hornets,Dallas Mavericks,93,104,0.38,0.417,0.263,0.326,0.5,0.563,53,54,26,22,11,10,2020-21,Away
2021-01-13,Minnesota Timberwolves,Memphis Grizzlies,107,118,0.433,0.472,0.243,0.32,0.833,0.769,48,47,27,33,12,7,2020-21,Away
2021-01-13,Detroit Pistons,Milwaukee Bucks,101,110,0.391,0.482,0.4,0.442,0.682,0.643,47,48,25,31,16,14,2020-21,Away
2021-01-14,Toronto Raptors,Charlotte Hornets,111,108,0.455,0.483,0.4,0.429,0.846,0.75,40,44,33,32,17,18,2020-21,Home
2021-01-14,Philadelphia 76ers,Miami Heat,125,108,0.537,0.494,0.459,0.353,0.833,0.615,35,41,27,28,18,20,2020-21,Home
2021-01-14,Denver Nuggets,Golden State Warriors,114,104,0.456,0.469,0.297,0.379,0.778,0.708,50,43,29,29,13,19,2020-21,Home
2021-01-14,Portland Trail Blazers,Indiana Pacers,87,111,0.368,0.478,0.302,0.3,1.0,0.778,43,50,16,29,18,12,2020-21,Away
2021-01-14,San Antonio Spurs,Houston Rockets,105,109,0.457,0.488,0.29,0.394,0.75,0.632,41,49,26,25,10,18,2020-21,Away
2021-01-15,Los Angeles Lakers,New Orleans Pelicans,112,95,0.419,0.477,0.405,0.31,0.731,0.5,44,47,31,22,6,20,2020-21,Home
2021-01-15,Milwaukee Bucks,Dallas Mavericks,112,109,0.448,0.464,0.378,0.361,0.48,0.462,57,51,22,22,10,9,2020-21,Home
2021-01-15,Sacramento Kings,LA Clippers,100,138,0.471,0.584,0.308,0.514,0.706,0.8,32,47,23,29,14,9,2020-21,Away
2021-01-15,Cleveland Cavaliers,New York Knicks,106,103,0.456,0.488,0.333,0.36,0.735,0.875,48,39,26,20,15,12,2020-21,Home
2021-01-15,Oklahoma City Thunder,Chicago Bulls,127,125,0.457,0.473,0.333,0.457,0.667,0.72,44,56,26,27,11,24,2020-21,Home
2021-01-15,Boston Celtics,Orlando Magic,124,97,0.511,0.404,0.405,0.25,0.895,0.636,45,46,25,14,10,11,2020-21,Home
2021-01-15,Utah Jazz,Atlanta Hawks,116,92,0.467,0.413,0.455,0.179,0.714,0.733,53,41,27,21,19,15,2020-21,Home
2021-01-16,Brooklyn Nets,Orlando Magic,122,115,0.538,0.463,0.457,0.304,0.88,0.813,41,38,24,28,19,12,2020-21,Home
2021-01-16,San Antonio Spurs,Houston Rockets,103,91,0.4,0.369,0.208,0.375,0.783,0.63,58,51,19,20,12,22,2020-21,Home
2021-01-16,Miami Heat,Detroit Pistons,100,120,0.478,0.505,0.414,0.391,0.889,0.667,31,39,25,34,22,11,2020-21,Away
