Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2021-02-04,Efes,Barcelona,88.0,86.0,2020-21,,,,,,,,,,,,,Home
2021-02-04,CSKA Moscow,Valencia,103.0,105.0,2020-21,,,,,,,,,,,,,Away
2021-02-05,Olimpia Milano,ASVEL,69.0,78.0,2020-21,,,,,,,,,,,,,Away
2021-02-05,ALBA Berlin,Bayern Munich,95.0,101.0,2020-21,,,,,,,,,,,,,Away
2021-02-05,Panathinaikos,Olympiacos,88.0,77.0,2020-21,,,,,,,,,,,,,Home
2021-02-05,Zenit,Fenerbahce,84.0,92.0,2020-21,,,,,,,,,,,,,Away
2021-02-18,Maccabi Tel Aviv,Olimpia Milano,68.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-02-18,Baskonia,Khimki,89.0,67.0,2020-21,,,,,,,,,,,,,Home
2021-02-18,Olympiacos,Efes,53.0,76.0,2020-21,,,,,,,,,,,,,Away
2021-02-18,Zalgiris,Barcelona,62.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-02-19,Zenit,Red Star Belgrade,76.0,75.0,2020-21,,,,,,,,,,,,,Home
2021-02-19,ALBA Berlin,Fenerbahce,84.0,89.0,2020-21,,,,,,,,,,,,,Away
2021-02-19,Real Madrid,Valencia,78.0,89.0,2020-21,,,,,,,,,,,,,Away
2021-02-19,Bayern Munich,ASVEL,79.0,87.0,2020-21,,,,,,,,,,,,,Away
2021-02-22,Olimpia Milano,Zenit,70.0,79.0,2020-21,,,,,,,,,,,,,Away
2021-02-23,Red Star Belgrade,Zalgiris,62.0,75.0,2020-21,,,,,,,,,,,,,Away
2021-02-25,Maccabi Tel Aviv,Bayern Munich,70.0,72.0,2020-21,,,,,,,,,,,,,Away
2021-02-25,Khimki,Olimpia Milano,74.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-02-25,CSKA Moscow,Olympiacos,75.0,74.0,2020-21,,,,,,,,,,,,,Home
2021-02-25,Zalgiris,Real Madrid,58.0,70.0,2020-21,,,,,,,,,,,,,Away
